IT SOURCE	EN SOURCE	GOOGLE TRANSLATE OOC	DEEPL OOC	MICROSOFT TRANSLATE OOC	IT SOURCE CONTEXT	EN GOLD STANDARD CONTEXT 	GOOGLE TRANSLATE IC	DEEPL IC	MICROSOFT TRANSLATE IC
ville d'otium	otium villas	ville d'otium	otium villas	villas d'otium	Affacciato sul mare, ma più raccolto e appartato rispetto al grande giardino di rappresentanza 25, costituisce il tipico spazio dedicato al riposo e alla meditazione, proprio delle ville d'otium*.	Overlooking the sea, but more intimate and secluded than the large garden 25, this is the traditional space that was dedicated to rest and meditation, typically present in otium* villas	Overlooking the sea, but more intimate and secluded than the large representative garden 25, it is the typical space dedicated to rest and meditation, typical of otium villas.	Overlooking the sea, but more secluded and secluded than the large representative garden 25, it is the typical space dedicated to rest and meditation, typical of the villas d'otium.	Overlooking the sea, but more collected and secluded than the large garden of representation 25, it is the typical space dedicated to rest and meditation, right of the villas d'otium.
opus sectile	opus sectile	opus sectile	opus sectile	opus sectile	Il pavimento era in opus sectile, ma era stato in gran parte rimosso in seguito ai lavori di restauro della villa interrotti dall'eruzione;	The floor was in opus sectile*, but had largely been removed because when the volcano erupted the villa was undergoing a remodelling.	The floor was in opus sectile, but it had been largely removed following the restoration of the villa interrupted by the eruption;	The floor was in opus sectile, but had been largely removed following the restoration work on the villa interrupted by the eruption;	The floor was in opus sectile, but had been largely removed as a result of the restoration work of the villa interrupted by the eruption;
mosaico in pasta vitrea	glass paste mosaic	glass paste mosaic	glass paste mosaic	mosaic in glassy paste	rivestito da un mosaico in pasta vitrea con conchiglie e schiuma di lava 	also covered with a glass paste mosaic whit shells and lava foam	covered with a glass paste mosaic with shells and lava foam	covered with a glass paste mosaic with shells and lava foam 	covered with a mosaic in glassy paste with shells and lava foam
ponte a doppio ordine di arcate	double arched bridge	bridge with double order of arches	Double-arched bridge	double-order bridge of arches	Infine l'acquedotto, di cui sono ancora visibili alcuni piloni e arcate; in località Barratina, sono notevoli i resti monumentali di un castello di compressione a pianta esagonale, struttura alta più di 15 m e tecnicamente molto evoluta, così come il ponte a doppio ordine di arcate di contrada Figurella (fig. 25).	And last but not least the aqueduct, that still has some pillars and arches standing; whilst in the Barratina area, there are the monumental remains of a castle with a hexagonal structure over 15mts tall and technically very advanced and lastly the double arched bridge in the district called Contrada Figurella (fig. 25).	Finally the aqueduct, of which some pillars and arches are still visible; in the locality of Barratina, the monumental remains of a compression castle with a hexagonal plan, a structure more than 15 m high and technically very advanced, are noteworthy, as is the double-tiered bridge of arcades in the Figurella district (fig. 25).	Finally the aqueduct, of which some pylons and arches are still visible; in the locality of Barratina, the monumental remains of a compression castle with a hexagonal plan are remarkable, a structure more than 15 m high and technically very advanced, as well as the bridge with a double order of arches in the district of Figurella (fig. 25).	Finally the aqueduct, of which some pylons and arches are still visible; in Barratina, the monumental remains of a hexagonal compression castle, a structure more than 15 m high and technically very evolved, as well as the double-order bridge of arches of contrada Figurella (Figurella 25).
camera ipogeica	hypogean chamber	hypogean chamber	hypogeic chamber	hypogeic chamber	le tombe sono per lo più a camera ipogeica 	the graves are mostly subterranean hypogean chambers	the tombs are mostly underground chambers	the tombs are mostly hypogeic chamber tombs 	the graves are mostly underground chamber
altare a tre betili	three betyls altar	altar to three betyls	altar with three betili	three-betili altar	Alla fine della Via dell'agora, in posizione eccentrica, si estende la zona pubblica, preceduta da un edificio sacro con altare a tre betili, stele verticali che nella religione punica rappresentano aniconicamente la divinità.	At the end of the Via dell'Agora, the municipal buildings are to be found further out, preceded by a sacred building with three betyls altar with vertical steles which in the Punic religion aniconically represents the Deity.	At the end of the Via Agora, in an eccentric position, the public area extends, preceded by a sacred building with an altar with three betyls, vertical steles that in the Punic religion aniconically represent the divinity.	At the end of the Via dell'agora, in an eccentric position, stretches the public area, preceded by a sacred building with an altar with three betili, vertical stelae that in the Punic religion represent the divinity anically.	At the end of the Way of the agora, in an eccentric position, extends the public area, preceded by a sacred building with altar to three blissful, vertical steles that in the Punic religion aniconically represent divinity.
corredi tombali	grave goods	grave goods	grave goods	tomb kits	Due vetrine ospitano alcuni tra i più significativi corredi tombali, che annoverano vasi di tradizione greca e forme ceramiche ed oggetti tipicamente fenicio-punici, come l'askos a forma di asinello, i piccoli amuleti ed elementi di collana (vaghi) in faïance (pasta di vetro colorata).	Two show-cases display some of the most significant grave goods, which include traditional Greek vases, ceramic items and objects typically Phoenician-Punic, such as the askos in the shape of a donkey, small amulets and pieces of necklaces (vagues) in faiance (coloured glass paste).	Two display cases house some of the most significant grave goods, which include vases of Greek tradition and typically Phoenician-Punic ceramic shapes and objects, such as the donkey-shaped askos, small amulets and necklace elements (vaghi) in faïance (pasta colored glass).	Two showcases house some of the most significant grave goods, which include vases of Greek tradition and ceramic forms and typical Phoenician-Punic objects, such as the donkey askos, small amulets and necklace elements (vaghi) in faïance (coloured glass paste).	Two showcases house some of the most significant tomb kits, which include vases of Greek tradition and ceramic shapes and typically Phoenician-punic objects, such as the donkey-shaped askos, the small amulets and necklace elements (vague) in faeance (colored glass paste).
ceramica invetriata	glazed ceramics	glazed ceramic	glazed ceramic	invetriated pottery	Peculiare del periodo e della cultura islamiche è soprattutto l'artigianato artistico che, grazie anche all'immigrazione di artigiani dal nord Africa, conosce un vivace sviluppo specie nella fiorente produzione di ceramica invetriata, che proseguirà ancora in età normanna.	The artisanal work, peculiar to this period and to the Islamic culture of the time, mostly the work of immigrant artisans from North Africa, flourished during this period, especially in the production of glazed ceramics, which was to continue throughout the Norman era.	Particular of the Islamic period and culture is above all the artistic craftsmanship which, thanks also to the immigration of artisans from North Africa, experienced a lively development especially in the flourishing production of glazed ceramics, which will continue in the Norman age.	Peculiar of the Islamic period and culture is above all the artistic craftsmanship which, thanks also to the immigration of artisans from North Africa, experienced a lively development, especially in the flourishing production of glazed ceramics, which continued in the Norman age.	Peculiar of the Islamic period and culture is above all the artistic craftsmanship that, thanks to the immigration of artisans from North Africa, knows a lively development especially in the flourishing production of over-the-top pottery, which will continue in the Norman era.
tombe ad arcosolio	arcosolium tombs	arcosolium tombs	arcosolium tombs	archsoly tombs	Connessa all'insediamento di età tardoimperiale è la necropoli situata ad Est, costituita da tombe ad arcosolio (tombe all'interno di una nicchia arcuata)	There is also a necropolis connected to the East of this Late-Imperial settlement, with arcosolium tombs (tombs situated inside an arched niche)	Connected to the settlement of the late imperial age is the necropolis located to the east, consisting of arcosolium tombs (tombs inside an arched niche)	Connected to the late imperial age settlement is the necropolis situated to the east, consisting of arcosolium tombs (tombs inside an arched niche).	Connected to the settlement of lateimperial age is the necropolis located in the east, consisting of arched tombs (tombs within an arched niche)
frammenti di matrici litiche 	fragments of stone moulds	fragments of lithic matrices	fragments of lithic matrices 	fragments of lithic matrices 	il ritrovamento di 13 frammenti di matrici litiche	 the discovery of 13 fragments of stone moulds	the discovery of 13 fragments of lithic matrices	the discovery of 13 fragments of lithic matrixes	the discovery of 13 fragments of lithic matrices
cinturoni bronzei	bronze belts	bronze belts	bronze belts	bronze straps	un interessante gruppo di cinturoni bronzei	An interesting group of embossed bronze belts,	an interesting group of bronze belts	an interesting group of bronze belts	an interesting group of bronze straps
tetto a cupola	domed roof	domed roof	domed roof	domed roof	Islamic culturally derived construction that features a quadrangular plan and domed roof.	This construction, cuboid and with a domed roof, was influenced by Islamic culture.	building of Islamic cultural derivation that has a quadrangular plan and a domed roof.	a building of Islamic cultural derivation with a quadrangular plan and domed roof.	Islamic culturally derived construction that features a quadrangular plan and domed roof.
scudo votivo 	votive shield 	votive shield	votive shield 	votive shield 	Sul piano di calpestio, vicino ad una struttura, probabilmente un'ara votiva, sono stati rinvenuti due schinieri (elementi dell'armatura a protezione delle gambe) di bronzo, tre elmi (fig. 54), un piccolo scudo votivo, e abbondante materiale ceramico coloniale e di produzione indigena di pregevole fattura (fig. 55).	On the floor, next to a structure, probably a votive altar, two bronze shin guards (armour for the protection of the legs), three helmets (fig. 54), a small votive shield as well as abundant colonial pottery and local pottery of excellent manufacture (fig. 55).	On the floor, near a structure, probably a votive altar, two bronze greaves (elements of the armor protecting the legs) of bronze, three helmets (fig. 54), a small votive shield, and abundant material were found. colonial and indigenous pottery of exquisite workmanship (fig. 55).	On the trampling floor, near a structure, probably a votive altar, were found two bronze schinieri (elements of the armour protecting the legs), three helmets (fig. 54), a small votive shield, and abundant colonial and indigenously produced ceramic material of valuable workmanship (fig. 55).	On the decking, near a structure, probably a votive macaw, two bronze schinieri (elements of the armor protecting the legs) were found, three helmets (Figure 54), a small votive shield, and abundant colonial ceramic material and indigenous production of valuable craftsmanship (figure 55).
volto barbato trifronte	trifrontal bearded face	bearded three-faced face	bearded face trifronte	bearded face trifront	Il Museo Civico di Prizzi occupa una piccola selezione di reperti rinvenuti a Ippana, tra cui spicca la laminetta quadrangolare in argento dorato decorata con volto barbato trifronte già citata.	The Prizzi Civic Museum houses a small selection of the artefacts unearthed at Hippana, amongst which is the thin sheet of gilded silver decorated with a trifrontal bearded face, mentioned above.	The Civic Museum of Prizzi occupies a small selection of artifacts found in Ippana, among which the quadrangular plate in gilded silver decorated with the aforementioned three-faced bearded face stands out.	The Civic Museum of Prizzi occupies a small selection of finds found in Ippana, among which the quadrangular laminette in gilded silver decorated with a bearded tri-fronted face already mentioned.	The Civic Museum of Prizzi occupies a small selection of finds found in Ippana, among which stands out the square square in golden silver decorated with bearded face trifront already mentioned.
anfore da trasporto	transport amphorae	transport amphorae	transport amphorae	transport amphorae	Le tombe che presentavano un rituale greco di seppellimento erano sia del tipo a fossa - scavate nella roccia gessosa - (fig.37), sia alla cappuccina (cioè con copertura di tegole piane disposte a spioventi), sia a enchytrismòs (deposizione di bambini entro anfore da trasporto), rito riservato alle sepolture infantili.	The tombs, in which the Greek burial rituals had prevailed, were both of the simple ditch type -- cut out of the chalk rock face (fig.37) -- and with a small, sloping roof covering `alla cappuccina', whilst infants were buried in transport amphorae, the practice known as enchtytrismòs and placed in a separate area reserved for infant burials.	The tombs that presented a Greek burial ritual were both of the pit type - excavated in the chalky rock - (fig.37), cappuccino (i.e. with cover of flat tiles arranged in dips), and enchytrismòs (deposition of children within transport amphorae), rite reserved for infant burials.	The tombs that presented a Greek burial ritual were both of the pit type - excavated in the chalky rock - (fig.37), cappuccino (i.e. with cover of flat tiles arranged in dips), and enchytrismòs (deposition of children within transport amphorae), rite reserved for infant burials.	The tombs that presented a Greek burial ritual were both of the pit type - excavated in the chalky rock - (fig.37), cappuccino (i.e. with cover of flat tiles arranged in dips), and enchytrismòs (deposition of children within transport amphorae), rite reserved for infant burials.
lucerne polilicni	multi-nozzle lanterns	polylicno lamps	polycyclic oil lamps	lucerne polylicns	La dislocazione topografica, l'organizzazione degli spazi e le offerte votive - migliaia di statuette fittili, lucerne polilicni, ceramica miniaturistica - qualificano l'area sacra come thesmophorion, il santuario dove si svolgevano i riti con sacrifici di animali, banchetti e processioni notturne in onore delle dee Demetra e Kore, legate al ciclo di fertilità della terra.	Its topographical location, the layout of the spaces and the votive offerings -- thousands of earthenware statuettes, multi-nozzle lanterns, and miniaturistic ceramics -- qualifies the sacred area as a thesmophorion, the sanctuary where the sacrificial rites of animals, banquets and night-time processions in honour of the Goddess Demeter, goddess of the harvest and of the fertility of the earth, and her daughter Kore.	The topographical location, the organization of the spaces and the votive offerings - thousands of clay statuettes, polychrome oil lamps, miniature ceramics - qualify the sacred area as thesmophorion, the sanctuary where rites with animal sacrifices, banquets and night processions took place in honor of the goddesses Demeter and Kore, linked to the fertility cycle of the earth.	The topographical location, the organisation of the spaces and the votive offerings - thousands of clay statuettes, polycyclic oil lamps, miniature ceramics - qualify the sacred area as thesmophorion, the sanctuary where animal sacrifices, banquets and night processions in honour of the goddesses Demeter and Kore, linked to the fertility cycle of the earth, took place.	The topographical dislocation, the organization of the spaces and votive offerings - thousands of dense figurines, polylic light, miniaturistic pottery - qualify the sacred area as thesmophorion, the sanctuary where rites were held with sacrifices of animals, banquets and night processions in honor of the dee Demeter and Kore, linked to the fertility cycle of the earth.
statuette fittili	 earthenware statuettes	clay figurines	clay figurines	dense figurines	La dislocazione topografica, l'organizzazione degli spazi e le offerte votive - migliaia di statuette fittili, lucerne polilicni, ceramica miniaturistica - qualificano l'area sacra come thesmophorion, il santuario dove si svolgevano i riti con sacrifici di animali, banchetti e processioni notturne in onore delle dee Demetra e Kore, legate al ciclo di fertilità della terra.	Its topographical location, the layout of the spaces and the votive offerings -- thousands of earthenware statuettes, multi-nozzle lanterns, and miniaturistic ceramics -- qualifies the sacred area as a thesmophorion, the sanctuary where the sacrificial rites of animals, banquets and night-time processions in honour of the Goddess Demeter, goddess of the harvest and of the fertility of the earth, and her daughter Kore.	The topographical location, the organization of the spaces and the votive offerings - thousands of clay statuettes, polychrome oil lamps, miniature ceramics - qualify the sacred area as thesmophorion, the sanctuary where rites with animal sacrifices, banquets and night processions took place in honor of the goddesses Demeter and Kore, linked to the fertility cycle of the earth.	The topographical location, the organisation of the spaces and the votive offerings - thousands of clay statuettes, polycyclic oil lamps, miniature ceramics - qualify the sacred area as thesmophorion, the sanctuary where animal sacrifices, banquets and night processions in honour of the goddesses Demeter and Kore, linked to the fertility cycle of the earth, took place.	The topographical dislocation, the organization of the spaces and votive offerings - thousands of dense figurines, polylic light, miniaturistic pottery - qualify the sacred area as thesmophorion, the sanctuary where rites were held with sacrifices of animals, banquets and night processions in honor of the dee Demeter and Kore, linked to the fertility cycle of the earth.
sarcofagi antropoidi	anthropoid sarcophagi	anthropoid sarcophagi	anthropoid sarcophagi	anthropoid sarcophagi	come testimoniano i famosi sarcofagi antropoidi della Cannita, oggi al Museo Salinas di Palermo	 evidenced by the famous anthropoid sarcophagi of Cannita, today at the Museo Archeologico Regionale A. Salinasdi Palermo 	as evidenced by the famous anthropoid sarcophagi of Cannita, now in the Salinas Museum in Palermo	as evidenced by the famous anthropoid sarcophagi of Cannita, today at the Salinas Museum in Palermo.	as evidenced by the famous anthropoid sarcophagi of the Cannita, today at the Salinas Museum in Palermo
idoletti a losanga	lozenge idols statues 	lozenge idols	lozenge idols	idols in lozenge	Attribuibili alla fase più antica, dall'attuale Piazza Leoni, provengono due idoletti a losanga	Attributable to the earliest phase, the current Piazza Leoni, derives two little lozenge idols statues 	Attributable to the most ancient phase, from the current Piazza Leoni, come two lozenge-shaped idols	Attributable to the oldest phase, from the current Piazza Leoni, come two lozenge-shaped idols	Attributable to the oldest stage, from the present Piazza Leoni, come two idols in lozenge
ceramica invetriata policroma	glazed polychrome ceramic	polychrome glazed ceramic	polychrome glazed ceramic	polychrome glassed pottery	Palermo è riconosciuta come un importante centro produttore di ceramica invetriata policroma di tradizione nord africana	Palermo is recognized as an important manufacturer of glazed polychrome ceramic traditionally North African	Palermo is recognized as an important production center of polychrome glazed ceramics of the North African tradition	Palermo is recognised as an important centre for the production of polychrome glazed ceramics of North African tradition.	Palermo is recognized as an important center of ceramics glassed polychrome of North African tradition
anfore vinarie	wine amphoras	wine amphorae	wine amphorae	wine amphorae	L'articolato complesso situato lungo Via dell'Abbondanza, costituito da bottega, retrobottega e casa attigua, occupa l'angolo nord-orientale dell'insula ottava; i proprietari molto probabilmente furono L. Vetutius Placidus e la sua compagna Ascula, nomi riportati più volte sui graffiti della casa e, in particolare, quello di Vetutius, si trova ripetuto su numerosi programmi elettorali e su anfore vinarie rinvenute all'interno.	The complex located along Via dell'Abbondanza, made up of a shop, back room and adjoining house, occupies the north-east corner of the eighth insula; the owners were most likely L. Vetutius Placidus and his partner Ascula, names recorded several times on the inscriptions of the house and, in particular, that of Vetutius, was copied on lots of electoral programmes and on wine amphoras found inside.	The complex complex located along Via dell'Abbondanza, consisting of a shop, a back room and an adjoining house, occupies the north-eastern corner of the eighth insula; the owners were most likely L. Vetutius Placidus and his partner Ascula, names reported several times on the graffiti of the house and, in particular, that of Vetutius, is repeated on numerous electoral programs and on wine amphorae found inside.	The articulated complex situated along Via dell'Abbondanza, consisting of a shop, back shop and adjoining house, occupies the north-eastern corner of the eighth island; the owners were most probably L. Vetutius Placidus and his partner Ascula, names that have been reported several times on the graffiti of the house and, in particular, that of Vetutius, is found repeated on numerous election programmes and on wine amphorae found inside.	The articulated complex located along Via dell'Abundance, consisting of a workshop, backroom and a neighbouring house, occupies the northeastern corner of the eighth insula; the owners most likely were L. Vetutius Placidus and his partner Ascula, names reported several times on the graffiti of the house and, in particular, that of Vetutius, is found repeated on numerous electoral programs and on wine amphorae found inside.
statuetta votiva	votive statuette	votive statuette	votive statuette	votive figurine	la statuetta votiva dell'Ercole Ebbro	a votive statuette representing a drunken Hercules	the votive statuette of Drunk Hercules	the votive statuette of the Drunken Hercules	the votive statuette of Hercules Ebbro
 polos a forma di torre	tower-shaped polos	polos in the shape of a tower	 tower-shaped polos	polos in the shape of a towe	sul capo reca un polos a forma di torre con porte ad arco	on her head a tower-shaped polos with arched doors.	on the head it bears a polos in the shape of a tower with arched doors	on the head bears a tower-shaped polos with arched doors	on the head bears a polos in the shape of a tower with arched doors
porte ad arco	arched doors	arched doors	arched doors	arched doors	sul capo reca un polos a forma di torre con porte ad arco	on her head a tower-shaped polos with arched doors.	on the head it bears a polos in the shape of a tower with arched doors	on the head bears a tower-shaped polos with arched doors	on the head bears a polos in the shape of a tower with arched doors
altare quadrato	square altar	square altar	square altar	square altar	Si possono osservare, nella parte più a Nord, un piccolo tempio con tre ambienti, affiancato su di un lato da un ambiente con un altare quadrato e sull'altro da un ambiente con un altare circolare e apertura centrale.	In the northernmost area, a small temple with three rooms is still visible, bordered on one side by a room with a square altar and on the other by a room with a circular altar and a central doorway.	In the northernmost part, a small temple with three rooms can be seen, flanked on one side by a room with a square altar and on the other by a room with a circular altar and central opening.	In the northernmost part, a small temple with three rooms can be seen, flanked on one side by a room with a square altar and on the other by a room with a circular altar and central opening.	You can see, in the far north, a small temple with three rooms, flanked on one side by an environment with a square altar and on the other by an environment with a circular altar and central opening.
monumentale altare rettangolare	monumental rectangular altar	monumental rectangular altar	monumental rectangular altar	monumental rectangular altar	I resti del monumentale altare rettangolare sono visibili a breve distanza dalla fronte orientale del tempio.	The remains of the great rectangular altar are visible a short distance from the eastern side of the temple.	The remains of the monumental rectangular altar are visible a short distance from the eastern front of the temple.	The remains of the monumental rectangular altar are visible a short distance from the eastern front of the temple.	The remains of the monumental rectangular altar are visible a short distance from the eastern front of the temple.
altare circolare	circular altar	circular altar	circular altar	circular altar	Fra questi due piccoli templi si trovano un grande altare circolare, dotato di una cavità interna, e un altare quadrato.	Between the two small temples there is a large circular altar with an internal recess, and a square altar.	between these two small temples there is a large circular altar, with an internal cavity, and a square altar.	Between these two small temples there is a large circular altar, with an internal cavity, and a square altar.	Between these two small temples are a large circular altar, equipped with an internal cavity, and a square altar.
portico in legno	wooden portico	wooden porch	wooden porch	wooden porch	Nella parte alta si trovavano un corridoio (ambulacro) e alcuni fori nella roccia forse per l'alloggiamento di un portico in legno.	In the upper section there was a corridor (ambulatory) and various holes in the rock which perhaps held a wooden portico.	In the upper part there was a corridor (ambulatory) and some holes in the rock perhaps for housing a wooden portico.	In the upper part there was a corridor (ambulatory) and some holes in the rock perhaps for housing a wooden portico.	At the top there was a corridor (ambulatory) and some holes in the rock perhaps for the housing of a wooden porch.
esedra semicircolare	semicircular exedra	semicircular exedra	semicircular exedra	semi-circular esedra	Di fronte si trova l'altare, poco distante da un'esedra semicircolare.	The altar is located just opposite, close to a semicircular exedra.	Opposite is the altar, not far from a semicircular exedra.	Opposite is the altar, not far from a semicircular exedra.	Opposite is the altar, not far from a semi-circular esedter.
nicchia ad arco	arched recess	arched niche	arched niche	arched niche	Alcune sepolture, chiamate arcosoli per la presenza di una nicchia ad arco, sono visibili sui resti del tratto di mura tra il Tempio di Giunone e quello della Concordia.	Several tombs, known as arcosolia due to the presence of an arched recess, can be seen among the remains of the old wall between the Temples of Hera Lacinia (Juno) and Concordia.	Some burials, called arcosoli due to the presence of an arched niche, are visible on the remains of the stretch of walls between the Temple of Juno and that of Concordia.	Some burials, called arcosoli because of the presence of an arched niche, are visible on the remains of the stretch of wall between the Temple of Juno and the Temple of Concordia.	Some burials, called arches because of the presence of an arched niche, are visible on the remains of the stretch of walls between the Temple of Juno and that of Concordia.
cisterna a campana	bell-shaped cisterns	bell cistern	bell-shaped tank	bell tank	La Grotta Fragapane è una grande catacomba comunitaria, costituita da corridoi (ambulacri), piccole camere sepolcrali (cubicoli) e rotonde (grandi camere sepolcrali), ricavate dalle preesistenti cisterne a campana di età greca.	Grotta Fragapane is a large catacomb composed of corridors (ambulatories), small burial chambers (cubicles) and rotundas (large burial chambers) carved from the existing bell-shaped cisterns built in the Greek period.	The Fragapane Grotto is a large community catacomb, consisting of corridors (ambulatory), small sepulchral chambers (cubicles) and round (large burial chambers), obtained from the pre-existing bell-shaped cisterns of the Greek age.	The Fragapane Cave is a large community catacomb, made up of corridors (ambulatory), small burial chambers (cubicles) and round chambers (large burial chambers), obtained from the pre-existing bell-shaped cisterns of the Greek age.	The Fragapane Cave is a large community catacomb, consisting of corridors (ambulacries), small burial chambers (cubic) and roundabouts (large burial chambers), made from pre-existing Bell tanks of Greek age.
fregio dorico	Doric frieze	Doric frieze	Doric frieze	Doric frieze	Sono stati rinvenuti i resti di un portico, utilizzato per gli esercizi ginnici al coperto, allineato ad un asse stradale nord-sud e coronato da un fregio dorico a metope e triglifi e da copertura a uno spiovente.	The remains of a portico used for indoor sports have been found, located in line with a north-south road and crowned by a Doric frieze of metopes and triglyphs and sheltered by a roof.	The remains of a portico have been found, used for indoor gymnastic exercises, aligned with a north-south road axis and crowned by a Doric frieze with metopes and triglyphs and a sloping roof.	The remains of a portico, used for indoor gymnastic exercises, were found aligned with a north-south road axis and crowned by a Doric frieze with metopes and triglyphs and a sloping roof.	The remains of a porch, used for indoor gymnastics, were found, aligned with a north-south road axis and crowned by a Doric frieze with metope and triglyphs and from covering to a sloping.
arco a sesto acuto	pointed archway	pointed archway	pointed arch	high-pitched sixth bow	L'edificio fu trasformato nel Medioevo in cappella dedicata a Maria Vergine, con l'ingresso ad arco a sesto acuto e con la copertura a volta a crociera ed una monofora sul lato ovest.	In the Middle Ages the building was converted into a chapel dedicated to the Virgin Mary, with a pointed archway at the entrance and a cross-vaulted ceiling with a single-light window on the west side.	The building was transformed in the Middle Ages into a chapel dedicated to the Virgin Mary, with a pointed arched entrance and a cross-vaulted roof and a single-lancet window on the west side.	The building was transformed in the Middle Ages into a chapel dedicated to the Virgin Mary, with a pointed arch entrance and cross vaulted roof and a lancet window on the west side.	The building was transformed in the Middle Ages into a chapel dedicated to Mary the Virgin, with the arched entrance with a sharp sixth and with a vaulted cruise roof and a monophore on the west side.
volta a crociera	cross-vaulted ceiling	cross-vaulted ceiling	cross vault	vault to cruise	L'edificio fu trasformato nel Medioevo in cappella dedicata a Maria Vergine, con l'ingresso ad arco a sesto acuto e con la copertura a volta a crociera ed una monofora sul lato ovest.	In the Middle Ages the building was converted into a chapel dedicated to the Virgin Mary, with a pointed archway at the entrance and a cross-vaulted ceiling with a single-light window on the west side.	The building was transformed in the Middle Ages into a chapel dedicated to the Virgin Mary, with a pointed arched entrance and a cross-vaulted roof and a single-lancet window on the west side.	The building was transformed in the Middle Ages into a chapel dedicated to the Virgin Mary, with a pointed arch entrance and cross vaulted roof and a lancet window on the west side.	The building was transformed in the Middle Ages into a chapel dedicated to Mary the Virgin, with the arched entrance with a sharp sixth and with a vaulted cruise roof and a monophore on the west side.
lastre litiche	stone slabs	lithic plates	lithic slabs	lithic slabs	Nel VI-VII secolo d.C. gruppi di tombe a cassa di lastre litiche si addossano alle case, in parte probabilmente abbandonate:	In the sixth and seventh centuries AD, groups of chest tombs with stone slabs were left alongside the houses, most likely abandoned:	In the 6th-7th century AD groups of box tombs of lithic slabs lean against the houses, probably partly abandoned:	In the VI-VII century A.D. groups of stone slab tombs lean against the houses, some of them probably abandoned:	In the 6th and 7th centuries AD groups of tombs with lithic slabs lean on houses, partly probably abandoned:
abside centrale	central apse	central apse	central apse	central apse	Nessuna traccia si conserva, invece, dei muri della cella, mentre l'abside centrale della chiesa è costruita su di alcuni resti della sua pavimentazione.	However, there is no trace of the walls of the naos, although the central apse of the church is built on the remains of its paved floor.	No trace is preserved, however, of the walls of the cell, while the central apse of the church is built on some remains of its pavement.	No traces of the walls of the cell are preserved, while the central apse of the church is built on some remains of its flooring.	No trace is preserved, however, of the walls of the cell, while the central apse of the church is built on some remains of its pavement.
ceramiche nuragiche	Nuragic ceramics	nuragic pottery	nuragic ceramics	Nuragic pottery	In questo periodo appaiono attivi i rapporti con la Sardegna, come dimostrano le ceramiche nuragiche	In this period active relations with Sardinia appear, as evidenced by the Nuragic ceramics	In this period, relations with Sardinia appear to be active, as shown by the nuragic ceramics	In this period relations with Sardinia appear active, as demonstrated by the Nuragic ceramics	During this period, relations with Sardinia appear active, as evidenced by the Nuragic pottery
punte di lancia	spearheads	spear heads	spearheads	spearheads	Fra le armi sono numerose le spade e le punte di lancia.	The weapons include many swords and spearheads.	Among the weapons there are numerous swords and spear heads.	Among the weapons are numerous swords and spearheads.	Among the weapons are numerous swords and spearheads.
piccola protome arcaica	small archaic bust	small archaic protome	small archaic protome	small archaic protome	una piccola protome arcaica degli inizi del VI	Rare terracotta items were found in the deposit such as a small archaic bust from the beginning of the sixth century	a small archaic protome from the early 6th century	a small archaic protome from the beginning of the 6th century	a small archaic protome from the beginning of the 6th
frammenti vascolari	fragments of vessels	vascular fragments	vascular fragments	vascular fragments	Tra numerosi frammenti vascolari varie coppe e un collo di hydria	Among the numerous fragments of vessels, there are various cups and a hydria neckband	Among numerous vascular fragments various cups and a neck of hydria	Among numerous vascular fragments various cups and a neck of hydria	Among numerous vascular fragments various cups and a neck of hydria
bruciaprofumi a fiore	floral incense	flower perfume burner	flower perfume burner	burnprofumes to flower	Dalle fosse votive provengono statuette di offerenti con polos, fiaccola e porcellino, piccoli busti femminili e numerose testine, bruciaprofumi a fiore (thymiateria), piccoli frutti e oggetti rituali miniaturistici: un ventaglio, cassettine, scatolette, scarpette, specchi, sia con manici che a doppia valva, riconducibili ai culti di Demetra e Kore ed a quelli di Afrodite, analogamente a quanto attestato in tanti altri santuari magnogreci e sicelioti.	The offering trench contained offering statuettes with polos, torch and piglet, small female busts and numerous heads, floral incense (thymiateria), small fruits and miniature ritual objects: a fan, boxes, cans, shoes, mirrors, both with handles and double-sided, that can be traced to the cults of Demeter and Kore and those of Aphrodite, similar to finds in many other Magna Graecia and Sicilian shrines.	From the votive pits come statuettes of offerers with polos, torch and pig, small female busts and numerous heads, flower-shaped perfume burners (thymiateria), small fruits and miniature ritual objects: a fan, boxes, boxes, shoes, mirrors, both with handles and double-valved, attributable to the cults of Demeter and Kore and to those of Aphrodite, similarly to what is attested in many other Magna Graecia and Siceliot sanctuaries.	From the votive pits come statuettes of bidders with polos, torch and piglet, small female busts and numerous small heads, flower perfume burners (thymiateria), small fruits and miniaturistic ritual objects: a fan, small boxes, boxes, shoes, mirrors, both with handles and double valva, which can be traced back to the cults of Demeter and Kore and those of Aphrodite, as attested in many other Magna Graecia and Sicilian sanctuaries.	From the votive pits come figurines of bidders with polos, torch and piglet, small female busts and numerous heads, flower burner (thymiateria), small fruits and miniaturistic ritual objects: a fan, drawers, cans, shoes, mirrors, both with handles and double valva, traceable to the cults of Demeter and Kore and those of Aphrodite, similar to what has been attested in many other sanctuaries.
